,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2011,79.5,73.0,64.125,74.09981684981685,73.76982383862638,85.84848484848484,59.666666666666664,,52.60384904950122,75.85863095238095,,62.5,,79.34202898550726,82.95555555555556,82.01923076923077,76.125,78.45238095238095,81.17843137254901,85.75,42.38095238095238,73.88825757575758,83.1360544217687,73.93333333333332,,85.375,79.36,,,88.0,76.81398809523809,86.66666666666667,76.83333333333334,75.707,79.36363636363637,80.0,76.91765873015872,70.7824074074074,91.0,60.0,,60.8625,77.796875,90.8888888888889,78.98469387755101,,75.49136321195144,78.71666666666667,15.0,
2012,,81.41666666666666,87.9,69.29629629629629,78.52065058204248,76.775,81.16666666666667,,73.92777777777778,73.45454545454545,40.0,93.0,91.0,81.39166666666667,78.1875,67.77777777777779,87.25,70.21428571428572,75.4075,70.9375,59.5,77.25,64.33333333333333,78.66666666666667,79.5,,77.38461538461539,,,75.5,85.69074074074075,99.0,71.95833333333333,69.73123796393558,64.41666666666667,90.0,80.16666666666667,73.77929292929294,81.6,67.05555555555556,78.5,63.291666666666664,68.92777777777778,87.58333333333334,73.20151515151514,,81.5777380952381,76.0,85.0,
2013,,,81.33333333333333,78.83333333333333,75.06493904116901,81.75,62.9,,66.24873737373737,89.16666666666667,66.0,90.0,72.5,78.93194444444445,67.8,72.66666666666667,75.21428571428571,65.41666666666667,81.85378787878788,79.57142857142857,85.0,84.45634920634922,82.33333333333333,80.89583333333334,,96.0,81.1,,,93.0,78.475,,78.08333333333333,77.04454365079366,80.8547619047619,64.0,85.45925925925926,78.97222222222223,84.25,76.25,,65.0,77.69546485260771,89.625,78.33333333333333,75.0,78.97272727272728,68.875,,
2014,,,74.55,71.65,77.29103641456582,84.07037037037037,75.0,,74.90575396825396,75.66666666666667,,10.0,,80.41666666666667,58.8,82.43333333333334,87.72222222222221,89.95,74.25,86.16666666666667,86.0,84.18181818181819,78.22222222222223,85.25,82.0,,68.0909090909091,66.8,95.0,73.0,82.03444444444445,88.0,75.0,77.50423076923077,75.12962962962962,40.0,79.89197530864197,76.14710144927535,70.8,92.5,,73.81818181818181,76.66851851851851,88.5,78.44444444444444,,77.4095238095238,87.16666666666667,80.0,65.0
2015,,75.08333333333334,78.0,79.70833333333333,75.57744252873563,84.57619047619048,72.0,,74.45039682539684,64.25,,82.0,,76.92857142857143,83.0,68.4,90.1,72.5,77.02222222222221,78.83333333333333,,89.31111111111112,72.44588744588745,77.75,77.0,90.0,78.91666666666666,76.0,,76.0,70.33522727272728,83.25,27.0,74.04347826086956,73.1,,77.33333333333333,84.66481481481482,75.0,81.55555555555556,75.0,65.66666666666667,84.79166666666667,85.47222222222221,86.53125,,79.28993055555556,79.0625,73.33333333333333,
2016,87.0,67.75,87.0,84.36220238095237,79.20781730030723,87.0970695970696,75.1111111111111,87.5,63.304545454545455,75.375,,,50.0,82.93181818181819,77.22727272727273,86.66666666666667,85.55555555555556,72.66666666666667,78.40333333333334,83.625,85.25,85.34375,82.66,69.0,,80.0,79.19047619047618,,,75.0,85.53333333333333,79.0,85.5,76.37222222222222,79.66666666666667,62.5,79.46875,74.05833333333334,69.0,47.0,80.0,58.166666666666664,76.23188405797102,82.0,72.83333333333333,,70.71428571428571,76.71428571428571,,0.0
2017,,,74.66666666666666,78.375,79.13333333333333,75.94833333333332,51.5,,72.53373015873017,82.53061224489797,,76.0,83.0,76.98333333333333,69.6,77.51785714285714,84.0,80.9,79.45833333333334,78.9280303030303,76.0,79.43749999999999,73.83333333333333,66.0,,85.375,76.53703703703704,37.333333333333336,79.5,40.0,79.3375,,91.66666666666667,79.1071706071706,74.275,90.75,86.45833333333334,82.00000000000001,,85.0,,84.58333333333333,81.85409035409036,,78.48611111111111,,79.73484848484848,82.4,67.0,49.0
2018,,86.0,84.66666666666667,83.125,78.8141414141414,77.62797619047619,,90.0,73.52852049910874,84.5,,,,78.38888888888889,72.63555555555556,77.375,82.125,72.55555555555556,73.15934065934066,82.5,86.25,83.5,80.0,73.25,85.0,95.0,84.5,,,80.0,84.56,,,76.73684210526316,77.97857142857143,85.0,84.33039215686276,77.53650793650793,73.0,78.0,95.0,67.41666666666667,77.89583333333334,79.84166666666667,83.07142857142857,,79.80072463768116,76.5,,84.0
2019,,,,79.72395833333334,72.64346405228758,85.74305555555554,75.95,37.125,81.55,87.08333333333333,,,,82.55666666666667,83.5625,93.0,72.0,78.36111111111111,83.95,77.96428571428571,71.5,71.0,75.68571428571428,87.0,65.5,86.33333333333333,81.53333333333333,70.0,87.0,88.5,82.0,88.41666666666667,39.0,78.53319400905607,79.6,60.0,84.68936965811966,80.70526315789475,53.5,84.85714285714286,,83.82142857142857,77.1888888888889,,85.02083333333333,,79.97685185185185,86.5,90.0,
2020,70.0,66.66666666666667,85.0,69.5,79.68636125592137,80.97532467532469,79.03333333333333,,73.52272727272727,95.25,,85.0,88.75,79.39743589743588,87.78571428571429,81.33333333333333,68.375,80.0,85.53030303030302,78.66666666666667,72.0,82.92592592592592,88.0,,,80.66666666666667,74.25,,,,68.95714285714286,83.75,60.0,74.77777777777777,85.54545454545455,,84.35277777777777,73.38541666666667,67.66666666666667,75.0,,82.5,82.86222222222223,84.33333333333333,78.3,85.0,82.125,82.66666666666667,,
2021,,,90.0,81.76,78.69929453262786,82.36666666666666,83.0,,78.39285714285714,81.66666666666666,75.0,,,85.5,87.875,,86.5,72.5,80.55555555555556,67.5,,,69.0,86.5,,,75.0,75.0,,87.5,80.5,65.0,50.333333333333336,78.53285714285714,85.4047619047619,75.0,82.57948717948719,82.2154761904762,,75.0,,85.22222222222223,74.66498316498317,,74.94444444444444,,84.89583333333334,80.0,,
