,Andorra,Argentina,Australia,Austria,Belarus,Belgium,Botswana,Brazil,Canada,Chile,China,Colombia,Croatia,Czechia,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,International,Iraq,Ireland,Israel,Italy,Japan,Jordan,"Korea, South",Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Malta,Mexico,Monaco,Netherlands,New Zealand,Norway,Pakistan,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tunisia,Turkey,Ukraine,United Kingdom,United States,Unknown
2001,,,64.08333333333333,83.02619047619048,,77.05,,73.99814814814816,82.16613247863248,,,,,99.0,77.58333333333333,,,80.48984470390721,81.3730303030303,84.20259271978023,63.0,89.5,,,72.66666666666667,,,94.75,81.6,85.14590201465201,81.73484848484848,,,,,,,91.5,,69.0,,81.39583333333333,,82.9488952020202,,,84.46428571428571,70.0,,88.16666666666666,,,100.0,,,100.0,80.31400617556966,84.0,,,87.93333333333334,75.48130952380953,75.99267039795717,
2002,,76.83333333333334,87.08611111111111,71.8,,81.0,,93.875,78.54545454545455,,,90.77777777777777,86.0,,90.875,,71.33333333333333,84.88461727666274,81.9545238095238,77.67449874686716,73.85416666666667,81.5,82.5,,,,,91.78888888888889,,84.97121212121213,78.76666666666667,,,,,,,,88.0,72.65,,69.03999999999999,,82.53264083411142,,,75.6118777056277,80.0,95.16666666666667,90.0,,60.0,80.0,,,93.725,80.7550052200981,69.0,,,84.21428571428571,78.40745614035089,75.91076604638911,
2003,,,85.94166666666666,78.85,,91.5,,67.76666666666667,74.13852813852813,,,,,75.0,80.67539682539683,,94.6,80.00032467532468,80.24008589181287,81.87458626443002,81.39444444444445,,,,99.0,,,,93.85714285714286,79.01060606060607,84.55151515151515,,,,76.45833333333334,,74.0,,,,,82.62301587301587,,79.92034493284494,,,72.54871794871795,78.0,,74.0,,,100.0,,,73.92916666666667,79.78984806043628,76.96428571428572,,76.83333333333333,85.25810185185186,82.66670577960052,75.58546986354324,
2004,81.4,70.0,79.4,66.625,,79.79166666666666,,82.16190476190476,76.8638888888889,91.6,,77.125,,93.5,85.11607142857143,97.0,,81.3074246266554,83.89957346574994,81.91964444444444,73.89999999999999,91.16666666666667,,,,44.333333333333336,,53.25,90.0909090909091,72.84093228200372,81.32261904761904,,63.42857142857143,82.0,,,83.42857142857143,,85.5,94.0,,84.75367581136813,,81.79065268065268,,,80.76388888888889,,90.0,82.83333333333333,,,86.0,,,75.0,81.54715707619214,76.27777777777779,,,87.08333333333333,84.12013366750209,76.76334697134362,
2005,,79.0,77.80952380952381,81.875,,75.52777777777777,,75.66666666666667,82.48820546737213,70.0,,,,,85.22448979591836,95.0,,81.54183074989527,83.2687675070028,76.57251984126982,80.71825396825396,62.75,92.42857142857143,78.2,90.66666666666667,74.6875,,87.6388888888889,77.8,72.89999999999999,83.56979166666667,,,82.5,,,,87.5,88.5,92.0,,80.27777777777779,95.0,77.30253193701724,,,81.02098214285715,,,78.14814814814814,,,92.4,,,83.9375,81.57948382901805,70.83333333333334,,,83.08143939393939,77.49463432276733,75.46726176371378,
2006,89.5,60.0,74.96349206349207,80.55357142857142,,79.625,,78.20138888888889,78.88814910579616,,,77.75,,76.58333333333334,82.10606060606061,,93.14285714285714,81.12448680351908,80.9471659919028,80.05221268808225,64.86904761904762,82.25,,,,77.0,,74.0,88.6,71.78102666564205,72.2,,,,,,84.66666666666667,,,91.45,,88.38888888888887,82.0,81.58250234613871,,80.0,82.3510101010101,77.2,86.22222222222223,86.65,,95.5,,,,71.16666666666667,81.12863519700255,79.42162698412699,,,81.27884615384616,75.60461893133056,75.36447669896882,76.81818181818181
2007,,,80.27238707983193,60.51388888888889,,76.39166666666668,,65.0,75.13124236874238,,,83.25,,77.01388888888889,80.6,62.833333333333336,,77.54396975078794,75.42503112356053,75.42956227106225,76.79647435897435,92.05,,,85.33333333333333,72.16666666666666,,96.04166666666666,,68.37083333333334,72.86688311688312,,,95.0,,,,,,65.5,,80.1608843537415,88.33333333333333,77.600235990861,63.0,,84.36222222222223,89.83333333333333,84.5,75.24242424242424,,75.0,80.0,,,81.79166666666667,79.4987766136472,86.62121212121212,84.25,86.0,82.9594017094017,79.92136591478699,74.72770582360984,
2008,,,81.25238095238095,75.69027777777778,70.5,58.7,,92.92592592592592,73.63428571428571,88.08333333333334,,,,79.5,87.45833333333333,91.66666666666667,74.88888888888889,74.01100529100529,78.62012987012987,72.55718157181572,82.61314102564103,96.0,,,98.0,67.5,,85.66666666666667,75.33333333333333,55.66527777777778,80.52083333333333,,95.0,59.5,,,,86.66666666666667,,,,82.24727469500198,75.0,76.96950280112044,55.0,,76.80222222222223,78.04166666666667,59.5,85.28571428571429,,,,75.0,,87.05555555555556,77.97812756132755,84.1474358974359,,,79.94444444444444,75.68560519263526,74.17997260511129,
2009,82.14285714285714,65.0,80.56839826839827,79.5,,84.0,,68.20454545454545,72.96997354497356,,,,80.0,85.5,83.16666666666667,,89.85714285714286,76.45590708574579,76.50108946608947,75.95426332926334,77.80666666666666,90.0,90.0,,,71.83473389355741,,83.22222222222223,,74.38111888111888,81.78571428571429,,,,,,86.5,,90.0,82.2,,85.64658119658121,79.83333333333333,79.7282300218938,,58.25,81.77692307692307,69.75,81.5,83.13392857142857,75.0,73.0,85.05,,,84.62666666666667,79.26124078624079,67.21726190476191,,,85.82191142191142,78.13191492850585,75.71606243282493,73.5
2010,,,83.12108843537415,77.33333333333334,70.5,70.9,51.0,88.5,69.39022038567492,80.16666666666666,92.5,86.5,,85.0,81.19333333333333,69.0,,79.15854497354498,76.65979532163743,76.1308845255274,77.97777777777779,,82.5,71.5,72.0,70.0,,85.33333333333333,92.85416666666666,80.39021164021163,87.38,82.125,,,76.8,,,,,100.0,,74.01587301587303,89.75,75.5355862547039,,,76.45333333333333,90.0,83.8888888888889,81.08333333333333,85.5,79.83333333333333,,87.0,,60.916666666666664,76.74869875153128,76.66666666666667,83.0,89.0,75.26666666666667,77.78721428571427,73.40349346032119,65.0
