,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2002,79.53909156177046,72.22774889111591,77.25376728638851,75.02890174387784,76.23665396808228,78.2325098880629,77.85185863777326,,74.05471867239176,77.29035899488656,77.9924613814397,,,75.49988397189597,79.25065728326365,81.93381027931018,78.12291737280194,75.47196120946167,78.96067965700782,78.95384495489225,79.39848881810403,77.10197733821894,74.05024170158147,78.41426961243899,72.64955712211521,78.69547509977185,79.25371531612836,,,,77.49056052792028,,72.50895437844878,78.01442762607716,79.0465424520099,,76.09968462697415,77.09536771830994,,79.04605432374007,,80.08899026150851,75.29096987286378,,76.66861455680754,,80.29921890513731,79.47993028481548,,
2003,,,73.71415695933202,80.44497554194628,76.99014848042387,73.94020418293181,,,75.69773316220332,81.07464736703194,,,,78.2560219395918,78.28720233260081,77.9924613814397,,70.93304822126538,76.90192418178671,78.2436423997167,79.39848881810403,77.23956497322327,76.6779610673337,80.52331076743549,,,75.67635118969285,,,,75.29455179641684,,77.24563832935834,76.0863158016105,76.31452053389715,78.856284620152,78.46358707137445,78.44733095311841,74.10099022285962,,,76.97225203580139,76.93794080394143,80.40845186241349,78.60830065707377,,77.58409019528655,78.21303012048405,,72.22774889111591
2004,,79.49166039050151,78.36740203121684,74.69893842044164,77.87410273686349,79.97009206251414,79.92775993516355,76.2690834358421,71.0249556458711,79.13532151952816,,79.11728333077116,,79.5656309221411,77.80499105655112,,,80.52669337344713,75.16623531025013,77.08341497216227,69.1049703047513,80.4124306310056,75.39563959821938,,,,75.6139646457222,,,,78.40855685438635,77.28944766310752,68.8532830431215,76.78682923316445,79.28034593721749,,79.18827608276159,77.42266221827704,78.60974349188068,84.16106327643477,79.82029704910333,75.18810986398913,74.85086423058641,77.57065315044039,78.7948878850017,,78.27737095860203,81.35696091922597,79.74999567727012,
2005,,78.9063792152715,79.84244913323721,69.88039308511259,77.01856559149964,80.05516890329774,78.69547509977185,,74.37442485716429,76.66529852469444,,,77.9924613814397,78.46164915816144,70.90030130958101,77.30156893978989,79.36526175763393,78.22245994656355,77.33300609820525,76.67079559097522,79.6796943054369,79.25931085883717,79.43556312946714,,75.46161199544387,,81.04438705089233,,,,79.13457479615796,77.14884491944109,78.11666123533809,76.71881940739202,75.85568699651301,70.67683121896239,77.8914608569386,78.16720918471398,79.39848881810403,79.87218056623807,78.97668058710472,78.75878000287182,77.42191825297691,,78.35777396042711,,80.45636196793316,80.9809874588272,,73.67892092645461
2006,,76.25968729924932,,77.88351496021515,77.2712079247875,76.96990817727544,79.34695692439306,75.18040650811102,76.04045045428151,77.19517488467312,,75.15816769608243,,77.67865635657807,74.7114728317103,81.16798099454488,76.93794080394144,76.87168358437773,76.20348150162607,76.6566489595945,80.74970888128507,75.14883279168917,76.79081883911736,77.94559380021754,,,78.92505727778976,77.19166735943932,78.4561489747075,,76.17426634171842,80.1015025364362,77.02689534342325,76.98108343624264,76.6680703984789,79.59590800496589,80.63841468804218,79.57353210731455,,72.64955712211521,,76.76516188394035,77.9799514819753,76.74338175961337,78.58720244086038,78.13306412510612,77.97623742900483,79.6082387002326,,77.57065315044039
2007,,78.13306412510612,77.66488837754405,73.78668213890167,76.07055827817881,80.2001155836883,77.18618024586178,79.10282574842329,76.66303952714175,76.20276946149698,74.64445844762282,77.85257728706898,71.25938120244284,76.59404316483544,77.62141802330598,75.65097795773262,77.9924613814397,79.7110289973113,78.41666281658465,76.73178015612334,72.36835163478233,79.14176405911398,76.89820289467289,78.13306412510613,74.95935564030717,77.43867313259199,77.4364935924187,79.71917856910157,,79.53909156177046,74.24711726971154,78.34396824060578,71.86989810086055,76.48805082866944,78.26688050652193,77.9924613814397,80.01612411067379,77.58181274613911,75.53441103108774,76.21297493570663,77.0072261581172,75.01895719850673,73.09875528341502,79.55980634731287,78.52688061479151,,77.38222831466649,79.25323829003906,,77.85185863777326
2008,,76.60243872465325,78.13306412510613,75.96599920809753,74.90998124145285,77.08485993964246,80.1015025364362,,74.47209336626692,77.59588662933459,,78.34396824060578,79.39848881810403,76.66586948075567,75.72151158301114,83.25398272068607,75.99390127267276,78.34970538110183,73.00803142324541,79.25601332662103,79.8809818923001,77.21051831862204,79.5205082065386,74.50108229389815,78.83482198900631,77.88437345633359,74.99601724239449,75.18040650811102,77.9924613814397,76.58643394477535,77.97401862155472,77.43005040677396,78.69547509977187,75.88474043316604,77.47892296165472,,77.55052802926679,78.59221818235937,78.55487235610543,71.95827632901555,,77.31682876199002,78.41113253031915,78.11666123533809,76.91320981235147,77.71125589410683,76.89613326615293,79.03283142259627,75.60221473911032,
2009,,78.856284620152,,77.50688653544483,76.93445798995496,80.58212409943827,,,75.39478594868412,77.29738530366794,,79.10236110354194,79.96089979276977,78.41527996517397,78.61488730943965,76.11017585893481,74.09107960758217,77.85531186839077,78.66769831580204,78.30200719032572,77.28944766310752,79.10144412970374,75.41474441422174,77.9924613814397,,79.39848881810403,76.5735932965072,77.75310568039497,,75.46161199544387,77.51791325710909,76.16462571377605,75.61742828241042,76.89459423737227,76.74012348813828,76.94176583999541,78.85097338227938,77.25696932350058,77.71125589410683,77.06407826222193,,74.39937104234997,77.60404305745419,81.07515477459371,75.16935744435092,,77.08230226186703,78.86570096646213,,
2010,,79.39848881810403,76.55301555769009,75.45383909400472,76.27521407438041,77.15424915669371,74.29527374713287,,76.76405087991476,78.3894457441196,,77.57065315044039,78.55487235610542,78.38996962362557,74.86048130133555,77.59453576613048,73.3107839661511,74.6145695634863,76.80255585865463,78.37502717350026,,76.63506732050483,72.41131995134023,77.65349419341096,,80.13297368092968,77.11074295379285,,,,75.25361756293543,,76.58643394477535,77.0555274884883,78.42055345754372,76.65673531660858,78.94152635083697,78.2676254241511,77.94591630378471,73.77437907144667,,74.38016411681083,77.23435748557999,,78.94702520071176,80.58207251805112,76.90528736835692,79.53909156177046,79.25788607443761,79.39848881810403
2011,78.3902582247083,77.00824217577465,75.83509342353436,76.95397875258506,76.53228616642834,80.13770354631195,75.35728024570672,,70.42073846096291,76.73615127462148,,75.5319133672771,,78.01037988160704,79.08026637254719,78.71422814924092,76.80913715728862,78.136795846612,78.2702684177734,79.0206992997896,72.76588817953971,76.94880743447156,79.1276206324401,77.25663896319102,,78.8866411303467,77.7442110170301,,,79.11728333077116,77.94116801863623,78.9298130058826,78.07947650631401,76.91021750904741,78.52809449656797,77.99246138143968,77.57929902316482,76.5939318427997,79.53909156177046,75.18040650811102,,74.66172285972172,78.04320757580248,80.92994034683763,78.98178104497697,,75.63868979767285,77.28846568294321,68.8532830431215,
