,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1983,0.0,0.0,0.0,0.2747736998155032,1.4425915747640927,0.5209476524014992,1.6828939717896485,,1.0269428732218484,0.4655984007998608,0.09418481301912902,2.118835600958279,0.0,0.0,0.7102373052775919,0.0,0.3432517057893519,0.223830168412057,0.6453286594329627,0.8705110465675532,1.1578515568141219,0.0,0.8010528237262234,0.17731653412846796,0.0,0.0,0.0,0.09534629966731768,0.0,0.0,0.0,0.5629242337756791,0.0,0.0,1.0280894073840774,0.5988484998845077,0.2527185566939965,0.9483758707572331,0.31245144797421714,0.0,0.1942232565258043,0.0,0.0,0.2759012564577707,0.0,0.23431498424407468,0.0,2.1011457416407557,0.17174947796746173,0.5579899416733114,0.0
1984,1.366969906157516,0.0,0.0,0.2747736998155032,1.8475295606627853,0.5209476524014992,1.9633763004212563,,1.0269428732218484,0.7915172813597633,0.09418481301912902,2.118835600958279,0.0,0.0,0.8680678175615012,0.0,0.3432517057893519,0.223830168412057,0.6453286594329627,1.0155962209954787,1.1578515568141219,0.0,1.201579235589335,0.5319496023854039,0.0,0.0,0.0,0.09534629966731768,0.0,0.0,0.735450400857241,1.0132636207962225,0.0,0.0,1.8505609332913393,0.9410476426756551,0.2527185566939965,0.9483758707572331,0.3905643099677714,0.0,0.1942232565258043,0.0,0.1464305932166906,0.413851884686656,0.0,0.46862996848814936,0.0,2.757753785903492,0.34349895593492347,0.5579899416733114,0.0
1985,1.366969906157516,0.0,0.0,0.5495473996310064,2.3790106671548195,0.6945968698686656,1.9633763004212563,,1.0269428732218484,0.8380771214397494,0.09418481301912902,2.118835600958279,0.0,0.0,1.1048135859873651,0.0,1.3730068231574075,0.223830168412057,1.2906573188659254,1.0155962209954787,1.323258922073282,0.0,1.401842441520891,0.5319496023854039,0.16293470163723306,0.0,0.0,0.09534629966731768,0.0,0.0,0.735450400857241,1.4636030078167659,0.0,0.6493177618276477,2.158987755506563,1.1121472140712287,0.2527185566939965,1.659657773825158,0.7030157579419886,0.9439652771812442,0.1942232565258043,0.0,0.1464305932166906,0.413851884686656,0.0,0.46862996848814936,0.0,2.889075394756039,0.6869979118698469,0.5579899416733114,0.0
1986,1.366969906157516,0.0,0.0,0.8243210994465096,2.606788284222834,0.6945968698686656,2.2438586290528644,,2.053885746443697,0.9311968015997216,0.09418481301912902,1.4125570673055192,0.0,0.0,1.3415593544132292,0.0,1.7162585289467596,0.223830168412057,1.720876425154567,0.8705110465675532,1.323258922073282,0.0,1.5019740444866687,0.5319496023854039,0.3258694032744661,0.0,0.0,0.19069259933463537,0.0,0.0,0.735450400857241,2.026527241592445,0.0,0.9739766427414716,2.7244369295678053,1.454346356862376,0.2527185566939965,2.608033644582391,0.8592414819290971,0.9439652771812442,0.1942232565258043,0.0,0.1464305932166906,0.6552654840872054,0.0,0.46862996848814936,0.0,2.889075394756039,0.6869979118698469,0.5579899416733114,0.0
1987,1.366969906157516,0.40789813152063403,0.0,0.8243210994465096,2.733331404816176,0.6945968698686656,2.804823286316081,,2.053885746443697,1.117436161919666,0.2825544390573871,1.4125570673055192,0.0,0.0,1.5783051228390932,0.0,2.0595102347361114,0.447660336824114,1.720876425154567,1.0155962209954787,1.4886662873324423,0.0,1.5019740444866687,0.5319496023854039,0.3258694032744661,0.0,0.0,0.19069259933463537,0.0,0.0,0.735450400857241,2.2516969351027165,0.0,1.623294404569119,2.775841399937009,1.539896142560163,0.2527185566939965,2.608033644582391,0.9373543439226514,0.9439652771812442,0.1942232565258043,0.0,0.1464305932166906,0.6897531411444267,0.31191924535505455,0.702944952732224,0.0,2.889075394756039,1.3739958237396939,0.5579899416733114,0.0
1988,1.366969906157516,0.40789813152063403,0.0,0.8243210994465096,2.733331404816176,0.6945968698686656,2.804823286316081,,2.053885746443697,1.3502353623195962,0.2825544390573871,1.4125570673055192,0.0,0.0,2.0517966596908215,0.14853943402613612,2.402761940525463,0.447660336824114,2.1510955314432088,1.3057665698513297,1.6540736525916027,0.0,1.201579235589335,0.5319496023854039,0.3258694032744661,0.0,0.0,0.19069259933463537,0.0,0.0,0.735450400857241,2.4768666286129886,0.0,1.623294404569119,2.9814592814138243,1.7109957139557366,0.505437113387993,2.608033644582391,1.1716929299033143,0.9439652771812442,0.1942232565258043,0.0,0.2928611864333812,0.7932161123160907,0.6238384907101091,0.702944952732224,0.0,2.757753785903492,1.3739958237396939,0.5579899416733114,0.0
1989,1.366969906157516,0.40789813152063403,0.3313667819381246,0.8243210994465096,2.96110902188419,0.3472984349343328,2.804823286316081,,2.053885746443697,1.4433550424795685,0.3767392520765161,1.4125570673055192,0.0,0.0,2.525288196542549,0.14853943402613612,2.0595102347361114,0.671490505236171,2.1510955314432088,1.5959369187071808,1.8194810178507628,0.0,1.3017108385551128,0.5319496023854039,0.3258694032744661,0.0,0.0,0.28603889900195306,0.0,0.0,0.735450400857241,3.0397908623886676,0.0,1.623294404569119,3.084268222152232,1.8820952853513102,0.505437113387993,2.608033644582391,1.4060315158839771,0.9439652771812442,0.1942232565258043,0.0,0.2928611864333812,0.9311667405449761,0.6238384907101091,0.9372599369762987,0.0,3.0203970036085868,1.3739958237396939,1.1159798833466228,0.0
1990,1.366969906157516,0.40789813152063403,0.3313667819381246,0.8243210994465096,2.8092572771721804,0.1736492174671664,2.2438586290528644,,2.053885746443697,1.5830345627195266,0.47092406509564516,1.4125570673055192,0.31695017860142566,0.0,2.6831187088264583,0.14853943402613612,2.0595102347361114,0.671490505236171,2.1510955314432088,1.3057665698513297,1.984888383109923,0.0,1.201579235589335,0.7092661365138718,0.3258694032744661,0.0,0.0,0.38138519866927073,0.0,0.5169540241769057,1.470900801714482,3.152375709143804,0.0,1.623294404569119,3.4440995147366595,2.0531948567468836,0.505437113387993,1.8967517415144661,1.5622572398710857,0.9439652771812442,0.1942232565258043,0.0,0.4392917796500719,1.0001420546594189,0.31191924535505455,1.1715749212203732,0.0,2.889075394756039,1.5457453017071554,1.1159798833466228,1.7278349019194519
1991,1.366969906157516,0.20394906576031702,0.6627335638762492,0.8243210994465096,2.7839486530535122,0.5209476524014992,1.6828939717896485,,2.053885746443697,1.6295944027995128,0.47092406509564516,1.4125570673055192,0.31695017860142566,0.0,2.919864477252322,0.14853943402613612,2.0595102347361114,0.671490505236171,2.7964241908761713,1.5959369187071808,2.1502957483690834,0.0,1.3017108385551128,0.8865826706423398,0.3258694032744661,0.0,0.0,0.5720777980039061,0.0,0.5169540241769057,1.470900801714482,3.264960555898939,0.0,1.2986355236552953,3.3926950443674557,2.1387446424446708,0.505437113387993,1.4225638061358497,1.64037010186464,0.9439652771812442,0.1942232565258043,0.0,0.5857223728667624,1.0346297117166399,0.6238384907101091,1.1715749212203732,0.0,2.757753785903492,1.7174947796746172,1.1159798833466228,1.7278349019194519
1992,1.366969906157516,0.20394906576031702,0.6627335638762492,0.9617079493542611,3.011726270121527,0.8682460873358321,1.1219293145264322,,2.053885746443697,1.722714082959485,0.5651088781147742,1.4125570673055192,0.31695017860142566,0.0,2.998779733394277,0.29707886805227224,2.0595102347361114,0.671490505236171,2.7964241908761713,1.886107267563032,2.1502957483690834,0.0,1.3017108385551128,1.0638992047708078,0.3258694032744661,0.3360046825612562,0.0,0.5720777980039061,0.0,0.5169540241769057,1.470900801714482,2.9272060156335318,0.47691061121340844,0.9739766427414716,3.4440995147366595,2.395393999538031,0.505437113387993,1.1854698384465414,1.64037010186464,0.9439652771812442,0.1942232565258043,0.0,0.5857223728667624,0.9656543976021974,0.6238384907101091,1.405889905464448,0.0,3.414361830166228,1.7174947796746172,1.1159798833466228,1.7278349019194519
