,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1991,0.0,0.20394906576031702,0.3313667819381246,0.2747736998155032,0.7086414753227122,0.1736492174671664,0.28048232863160805,,1.0269428732218484,0.5121582408798468,0.09418481301912902,0.0,0.0,0.0,0.6313220491356373,0.0,0.0,0.0,0.43021910628864174,0.290170348855851,0.4962220957774808,0.0,0.20026320593155586,0.3546330682569359,0.3258694032744661,0.0,0.0,0.19069259933463537,0.0,0.0,0.735450400857241,0.9006787740410866,0.0,0.32465888091382383,0.8224715259072619,0.17109957139557364,0.0,0.0,0.0,0.9439652771812442,0.0,0.0,0.1464305932166906,0.2759012564577707,0.0,0.23431498424407468,0.0,0.9192512619678307,0.6869979118698469,0.0,0.0
1992,0.0,0.0,0.3313667819381246,0.4121605497232548,0.7339500994413805,0.1736492174671664,0.0,,0.0,0.2327992003999304,0.0,0.0,0.0,0.0,0.5524067929936826,0.14853943402613612,1.0297551173680557,0.223830168412057,0.21510955314432087,0.0,0.3308147305183205,0.0,0.10013160296577793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4503393870205433,0.0,0.6493177618276477,0.9766849370148735,0.17109957139557364,0.2527185566939965,0.23709396768930827,0.3905643099677714,0.9439652771812442,0.0,0.0,0.1464305932166906,0.13795062822888535,0.0,0.11715749212203734,0.0,0.9192512619678307,0.5152484339023852,0.0,0.0
1993,1.366969906157516,0.0,0.0,0.2747736998155032,0.4555552341360293,0.1736492174671664,0.0,,0.0,0.605277921039819,0.0,0.0,0.0,0.0,0.6313220491356373,0.0,0.3432517057893519,0.447660336824114,1.0755477657216044,0.7254258721396277,0.4962220957774808,0.0,0.20026320593155586,0.17731653412846796,0.16293470163723306,0.0,0.0,0.09534629966731768,0.0,0.0,0.0,0.675509080530815,0.47691061121340844,0.32465888091382383,0.8738759962764658,0.34219914279114727,0.0,0.23709396768930827,0.23433858598066284,0.0,0.1942232565258043,0.0,0.0,0.103462971171664,0.0,0.351472476366112,0.0,0.7879296531152834,0.17174947796746173,0.0,1.7278349019194519
1994,0.0,0.0,0.3313667819381246,0.4121605497232548,0.5314811064920341,0.1736492174671664,0.28048232863160805,,1.0269428732218484,0.2793590404799165,0.0,0.0,0.0,0.0,0.31566102456781864,0.14853943402613612,0.0,0.0,0.43021910628864174,0.290170348855851,0.8270368262958013,0.0,0.20026320593155586,0.17731653412846796,0.0,0.0,0.0,0.19069259933463537,0.0,0.0,0.0,0.5629242337756791,0.0,0.0,0.771067055538058,0.25664935709336045,0.2527185566939965,0.23709396768930827,0.07811286199355429,0.0,0.0,0.0,0.0,0.17243828528610666,0.31191924535505455,0.11715749212203734,0.0,1.1818944796729252,0.17174947796746173,0.0,0.0
1995,0.0,0.0,0.0,0.2747736998155032,0.784567347678717,0.0,0.5609646572632161,,0.0,0.4655984007998608,0.09418481301912902,0.0,0.0,0.0,0.5524067929936826,0.14853943402613612,1.0297551173680557,0.223830168412057,0.6453286594329627,0.1450851744279255,0.16540736525916025,0.0,0.0,0.17731653412846796,0.16293470163723306,0.0,0.0,0.09534629966731768,0.0,0.5169540241769057,0.0,0.9006787740410866,0.9538212224268169,0.0,0.6682581147996502,0.25664935709336045,0.0,0.47418793537861653,0.23433858598066284,0.9439652771812442,0.0,0.0,0.0,0.17243828528610666,0.31191924535505455,0.351472476366112,0.0,0.5252864354101889,1.0304968678047703,0.0,0.0
1996,0.0,0.0,0.3313667819381246,0.2747736998155032,0.4555552341360293,0.3472984349343328,0.0,,0.0,0.3724787206398886,0.0,0.0,0.0,0.0,0.47349153685172796,0.0,0.3432517057893519,0.447660336824114,1.0755477657216044,0.290170348855851,0.16540736525916025,0.0,0.20026320593155586,0.0,0.0,0.0,0.0,0.09534629966731768,0.0,0.0,0.0,0.675509080530815,0.47691061121340844,0.32465888091382383,0.6682581147996502,0.17109957139557364,0.505437113387993,0.23709396768930827,0.3905643099677714,0.0,0.0,0.0,0.0,0.206925942343328,0.0,0.23431498424407468,0.0,0.9192512619678307,0.34349895593492347,0.0,0.0
1997,0.0,0.0,0.0,0.1373868499077516,0.860493220034722,0.3472984349343328,1.1219293145264322,,0.0,0.5121582408798468,0.09418481301912902,0.0,0.0,0.0,0.5524067929936826,0.14853943402613612,0.0,0.0,0.21510955314432087,0.4352555232837766,0.16540736525916025,0.0,0.3003948088973338,0.17731653412846796,0.0,0.3360046825612562,0.0,0.19069259933463537,0.0,0.0,0.735450400857241,0.675509080530815,0.0,0.0,0.8224715259072619,0.5132987141867209,0.0,0.0,0.31245144797421714,0.9439652771812442,0.0,0.0,0.0,0.310388913514992,0.31191924535505455,0.702944952732224,0.0,0.5252864354101889,0.34349895593492347,0.0,0.0
1998,0.0,0.0,0.0,0.2747736998155032,0.6074069788480391,0.3472984349343328,0.28048232863160805,,0.0,0.4655984007998608,0.0,0.0,0.31695017860142566,0.0,0.47349153685172796,0.0,0.6865034115787038,0.0,0.6453286594329627,0.8705110465675532,0.3308147305183205,0.0,0.20026320593155586,0.5319496023854039,0.16293470163723306,0.0,0.0,0.19069259933463537,0.0,0.0,0.735450400857241,0.675509080530815,0.0,0.32465888091382383,0.7196625851688542,0.8554978569778683,0.0,0.23709396768930827,0.54679003395488,0.9439652771812442,0.1942232565258043,0.0,0.1464305932166906,0.24141359940054935,0.31191924535505455,0.5857874606101866,0.0,0.13132160885254723,0.0,0.0,0.0
1999,0.0,0.20394906576031702,0.0,0.4121605497232548,0.961727716509395,0.0,0.28048232863160805,,0.0,0.558718080959833,0.18836962603825805,0.0,0.0,0.0,0.6313220491356373,0.29707886805227224,0.3432517057893519,0.0,0.0,0.4352555232837766,0.4962220957774808,0.0,0.20026320593155586,0.5319496023854039,0.0,0.0,0.0,0.47673149833658846,0.0,0.0,0.0,0.675509080530815,0.47691061121340844,0.32465888091382383,1.2337072888608929,0.5988484998845077,0.2527185566939965,0.47418793537861653,0.23433858598066284,0.9439652771812442,0.0,0.0,0.1464305932166906,0.206925942343328,0.31191924535505455,0.8201024448542614,0.0,1.3132160885254724,0.17174947796746173,0.5579899416733114,0.0
2000,0.0,0.0,0.6627335638762492,0.4121605497232548,0.8098759717973854,0.6945968698686656,0.5609646572632161,,0.0,0.5121582408798468,0.2825544390573871,0.0,0.6339003572028513,0.0,0.8680678175615012,0.29707886805227224,0.3432517057893519,0.0,1.2906573188659254,0.580340697711702,0.9924441915549616,0.0,0.20026320593155586,0.5319496023854039,0.0,0.3360046825612562,0.0,0.38138519866927073,0.0,0.0,0.735450400857241,1.0132636207962225,0.47691061121340844,0.32465888091382383,0.6168536444304464,0.5132987141867209,0.0,0.47418793537861653,0.54679003395488,2.831895831543733,0.1942232565258043,0.0,0.4392917796500719,0.24141359940054935,0.0,0.702944952732224,0.0,0.9192512619678307,0.34349895593492347,0.0,0.0
