id,name,genre,reviews,rating,songs,seconds,genre_black,genre_death,genre_deathcore,genre_doom,genre_folk,genre_gothic,genre_grindcore,genre_heavy,genre_metalcore,genre_power,genre_progressive,genre_symphonic,genre_thrash,word_count,word_count_uniq,words_per_song,words_per_song_uniq,seconds_per_song,word_rate,word_rate_uniq,unique_first_words,N,types,TTR,logTTR,MTLD,logMTLD,vocd-D,logvocd-D
34,Candlemass,Epic Doom Metal,125,86.55,82,2.893e+04,0,0,0,1,0,0,0,0,0,0,0,0,0,12819,2364,156.3,28.83,352.8,0.4431,0.08172,2045,12819,2364,0.1844,0.8213,329.8,5.799,90.86,4.509
306,Running Wild,Heavy/Power/Speed Metal,99,76.4,146,4.456e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,26309,3375,180.2,23.12,305.2,0.5904,0.07574,2046,26309,3375,0.1283,0.7982,243,5.493,106.5,4.668
85,The Haunted,Melodic Death/Groove Metal,43,65.89,98,2.186e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,15627,2533,159.5,25.85,223.1,0.7147,0.1159,2057,15627,2533,0.1621,0.8116,250.8,5.525,119.3,4.781
179,Death Angel,Thrash Metal,78,78.33,88,2.476e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,15810,2620,179.7,29.77,281.3,0.6386,0.1058,2060,15810,2620,0.1657,0.8141,289.1,5.667,127,4.844
859,Tiamat,Death/Doom Metal (early); Gothic Metal/Rock (later),42,81.2,91,2.639e+04,0,1,0,1,0,1,0,0,0,0,0,0,0,11395,2189,125.2,24.05,290,0.4318,0.08295,2071,11395,2189,0.1921,0.8234,333.3,5.809,106.4,4.667
155,Destruction,Thrash Metal,120,74,124,3.326e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,20543,3084,165.7,24.87,268.2,0.6177,0.09274,2080,20543,3084,0.1501,0.809,221.1,5.398,132.3,4.885
386,Marduk,Black Metal,133,79.54,111,2.997e+04,1,0,0,0,0,0,0,0,0,0,0,0,0,18105,3169,163.1,28.55,270,0.6042,0.1057,2087,18105,3169,0.175,0.8222,315.7,5.755,106,4.663
142,Helstar,Power/Speed Metal,61,83.56,75,2.181e+04,0,0,0,0,0,0,0,0,0,1,0,0,0,13273,2588,177,34.51,290.8,0.6086,0.1187,2090,13273,2588,0.195,0.8278,490.5,6.195,113.1,4.728
138,Megadeth,Speed/Thrash Metal (early/later); Heavy Metal/Rock (mid),344,73.79,123,3.206e+04,0,0,0,0,0,0,0,1,0,0,0,0,1,23148,3287,188.2,26.72,260.6,0.7221,0.1025,2093,23148,3287,0.142,0.8058,255.5,5.543,110.8,4.708
535,Tankard,Thrash Metal,96,78.88,138,3.615e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,28514,3681,206.6,26.67,261.9,0.7888,0.1018,2096,28514,3681,0.1291,0.8004,191.9,5.257,140.2,4.943
1,Amorphis,Progressive/Death/Doom Metal (early); Melodic Heavy Metal/Rock (later),148,85.08,136,3.864e+04,0,1,0,1,0,0,0,1,0,0,1,0,0,17220,2708,126.6,19.91,284.1,0.4456,0.07008,2097,17220,2708,0.1573,0.8103,191,5.252,86.35,4.458
104,Enslaved,Progressive Black/Viking Metal,161,83.8,92,3.623e+04,1,0,0,0,0,0,0,0,0,0,1,0,0,13773,2576,149.7,28,393.8,0.3802,0.0711,2100,13773,2576,0.187,0.8241,439.3,6.085,113.5,4.732
998,Sinister,Death Metal,33,76.92,98,2.667e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,13993,2708,142.8,27.63,272.1,0.5247,0.1015,2104,13993,2708,0.1935,0.828,252.7,5.532,100.3,4.608
542,Anvil,Heavy/Power Metal,55,73.24,160,4.021e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,23693,3544,148.1,22.15,251.3,0.5892,0.08813,2109,23693,3544,0.1496,0.8114,183.1,5.21,122.3,4.807
38,Opeth,"Progressive Death Metal, Progressive Rock",244,78.54,96,4.449e+04,0,1,0,0,0,0,0,0,0,0,1,0,0,13858,2549,144.4,26.55,463.4,0.3115,0.0573,2115,13858,2549,0.1839,0.8225,465.9,6.144,114.5,4.74
173,Exodus,Thrash Metal,169,76.18,102,3.427e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,20790,3650,203.8,35.78,335.9,0.6067,0.1065,2128,20790,3650,0.1756,0.825,443.8,6.095,118.9,4.778
7477,Municipal Waste,Thrash Metal/Crossover,51,78,68,7479,0,0,0,0,0,0,0,0,0,0,0,0,1,10520,2220,154.7,32.65,110,1.407,0.2968,2130,10520,2220,0.211,0.832,529.8,6.272,136.4,4.916
1702,Melvins,"Sludge Metal, Various",31,86.17,133,3.204e+04,0,0,0,0,0,0,0,0,0,0,0,0,0,12311,2331,92.56,17.53,240.9,0.3842,0.07275,2144,12311,2331,0.1893,0.8233,279.4,5.633,121.7,4.802
11,In Flames,Melodic Death Metal (early); Melodic Groove Metal/Metalcore/Alternative Rock (later),200,60.62,142,3.386e+04,0,1,0,0,0,0,0,0,1,0,0,0,0,20294,2740,142.9,19.3,238.4,0.5994,0.08093,2175,20294,2740,0.135,0.7981,187.5,5.234,97.57,4.581
