id,name,genre,reviews,rating,songs,seconds,genre_black,genre_death,genre_deathcore,genre_doom,genre_folk,genre_gothic,genre_grindcore,genre_heavy,genre_metalcore,genre_power,genre_progressive,genre_symphonic,genre_thrash,word_count,word_count_uniq,words_per_song,words_per_song_uniq,seconds_per_song,word_rate,word_rate_uniq,unique_first_words,N,types,TTR,logTTR,MTLD,logMTLD,vocd-D,logvocd-D
1388,Evergrey,Progressive/Power Metal,54,75.73,112,32791,0,0,0,0,0,0,0,0,0,1,1,0,0,19459,2012,173.7,17.96,292.8,0.5934,0.06136,1450,19459,2012,0.1034,0.7702,162,5.087,94.74,4.551
216,Stratovarius,Melodic Power Metal,141,78,132,44263,0,0,0,0,0,0,0,0,0,1,0,0,0,19785,2037,149.9,15.43,335.3,0.447,0.04602,1454,19785,2037,0.103,0.7702,185.6,5.223,100.8,4.613
1129,Raven,"NWOBHM, Speed Metal",28,78.6,126,31306,0,0,0,0,0,0,0,0,0,0,0,0,0,20147,2186,159.9,17.35,248.5,0.6436,0.06983,1455,20147,2186,0.1085,0.7759,148,4.997,97.63,4.581
331,Avantasia,Symphonic Power Metal,63,75.67,65,22218,0,0,0,0,0,0,0,0,0,1,0,1,0,18247,2138,280.7,32.89,341.8,0.8213,0.09623,1460,18247,2138,0.1172,0.7815,189.9,5.247,93.87,4.542
1039,Budgie,Heavy Metal/Hard Rock/Progressive Rock,27,70.1,77,22700,0,0,0,0,0,0,0,1,0,0,1,0,0,10350,1498,134.4,19.45,294.8,0.4559,0.06599,1463,10350,1498,0.1447,0.7909,147.5,4.994,98.01,4.585
1019,Graveworm,Melodic Black/Gothic Metal,26,67.22,65,19686,1,0,0,0,0,1,0,0,0,0,0,0,0,12147,1598,186.9,24.58,302.9,0.617,0.08117,1465,12147,1598,0.1316,0.7843,251.2,5.526,86.41,4.459
20825,As I Lay Dying,Metalcore,44,77.14,79,16973,0,0,0,0,0,0,0,0,1,0,0,0,0,11799,1603,149.4,20.29,214.8,0.6952,0.09444,1468,11799,1603,0.1359,0.7871,136.1,4.914,116.3,4.756
83,Manowar,Heavy/Power Metal,154,74.45,83,25220,0,0,0,0,0,0,0,1,0,1,0,0,0,16627,1790,200.3,21.57,303.9,0.6593,0.07098,1468,16627,1790,0.1077,0.7707,183.8,5.214,98.46,4.59
98854,Underoath,"Metalcore (early), Alternative Rock/Post-Hardcore/Metalcore (later)",35,53.17,58,16203,0,0,0,0,0,0,0,0,1,0,0,0,0,11193,1525,193,26.29,279.4,0.6908,0.09412,1473,11193,1525,0.1362,0.7862,181.4,5.2,101.2,4.617
2025,Firewind,Heavy/Power Metal,39,77.12,73,19901,0,0,0,0,0,0,0,1,0,1,0,0,0,11422,1627,156.5,22.29,272.6,0.5739,0.08175,1478,11422,1627,0.1424,0.7914,166.4,5.115,113.2,4.729
96,Hypocrisy,Death Metal (early); Melodic Death Metal (later),72,84.17,118,31446,0,1,0,0,0,0,0,0,0,0,0,0,0,17900,2102,151.7,17.81,266.5,0.5692,0.06684,1479,17900,2102,0.1174,0.7813,199.1,5.294,99.78,4.603
